Progress,Jimboy Calloway - 1,Dexter - 2,Samuel - 3,Chai-An - 4,Bastion - 5,Bloody Scarf - 6,Lucian Corneilius-7,Lucy Jones-8,Duvamil Timbers-9,Kallista Spector-10,Zanna Garrick-11,Count Valgo-12,Portrait-13,Destroyed Mechanical Part-14,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
